"Time","Farm","Attacker","X","Y"
"23:04:46","Globe Farm CCC5","GLOBE VARANASI","309","457"
"23:04:25","Globe Farm CCC5","GLOBE VARANASI","309","457"
"23:04:22","Globe Farm CCC5","GLOBE VARANASI","309","457"
"23:04:16","Globe Farm CCC5","GLOBE VARANASI","309","457"
"23:03:47","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:43","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:39","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:18","KO J Farm FFF3","ssolove","688","537"
"23:03:08","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:04","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:01","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:02:56","Globe Farm CCC4","GLOBE VARANASI","312","455"
"23:03:08","Globe Farm CCC4","GLOBE VARANASI","342","455"
"23:03:04","Globe Farm CCC4","GLOBE VARANASI","342","455"
